transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0xf22145b6e9080fc3bfd19aa132bb67875f70f5956f706e0497899529b213d669,14508338,2022-04-02,19396094914493492417412352623610788052960,0x6e7bf3ce82433b7536e254daffc29d3b6c5a866f,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x6e7bf3ce82433b7536e254daffc29d3b6c5a866f,0xa01424b7540adbb792375dcf97b733a5d68ad347,4190.0,14460511.620733883
0x2a592c18aad6187365f5968a1dca40d9b53b5b0e62b3b3bb2d495834ccc18699,14508338,2022-04-02,115792089237316195423570985008687907839998972355723963964385974318074169393237,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0xa01424b7540adbb792375dcf97b733a5d68ad347,4390.0,15150750.838907339
0x2d1e13f961e43929a69e9be1ffa2801d1ada659b976ff2fa3d14ff0c85dcabc5,14508337,2022-04-02,13951577043758477001998358904702496669769,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0xa01424b7540adbb792375dcf97b733a5d68ad347,4390.0,15150750.838907339
0xf8da685192919634accf8ea8084c5aae8fba2584397773f75470edafe4f7e656,14508068,2022-04-02,19396094914493492417412352623610788052960,0x7b2eb0fa5ca1b667c9c55d0e94c28059b9b86185,0x6e7bf3ce82433b7536e254daffc29d3b6c5a866f,0x6e7bf3ce82433b7536e254daffc29d3b6c5a866f,0x7b2eb0fa5ca1b667c9c55d0e94c28059b9b86185,3750.0,12941985.340752283
0x4b00bade8ed45f28c8e9de7d1fe12086778b28549b234ac84dc83a20ceedcfea,14504574,2022-04-02,115792089237316195423570985008687907831151630815779563914338234524848195895438,0x0848f011d99c5aa0abf0e8a43c72d8b573383f2b,0xc46d5cbf77e854f8fae1ef979421060f8ba36988,0x0848f011d99c5aa0abf0e8a43c72d8b573383f2b,0xc46d5cbf77e854f8fae1ef979421060f8ba36988,3.09,10664.19592077988
0x0ab57349184ecdfced73320d5e70c36b7ad11903bfe14e8a47697a7f406ff1c4,14504348,2022-04-02,115792089237316195423570985008687907833533607384226133158581856776870573375358,0x232e80143245027c281c0c85f7295eef3f039b40,0x53c4859560e3f268789f6de934d776b9d91e190a,0x232e80143245027c281c0c85f7295eef3f039b40,0x53c4859560e3f268789f6de934d776b9d91e190a,3.05,10526.14807714519
0x849b6ddc6dc9a16e901a7602cb129122c916c368536971af5b268d970a9d2dfa,14501966,2022-04-01,17694683079888800100095479586451946995598,0x546fe1ba130da27336c88bac5da6a608480f6878,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x546fe1ba130da27336c88bac5da6a608480f6878,0xa01424b7540adbb792375dcf97b733a5d68ad347,3.17,10408.07001095237
0xbedc52e2c8e44363191d253fd636cc5dea482a87274518d0291138b59283af75,14499635,2022-04-01,115792089237316195423570985008687907838978125254961148573995850495778864758671,0x4c2bd75d6cb51b4e4ffa67598c6fc7c1860d19d5,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,0x4c2bd75d6cb51b4e4ffa67598c6fc7c1860d19d5,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,3.1,10178.23881197235
0xe1be722c34d64149205d50e99ad02f27dfb3dd7202684487588296410fb0a71d,14498585,2022-04-01,45938119534326692567555572003288708546601,0x8c8160d81693b54e605d528d5a474e3b9dabf794,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,0x8c8160d81693b54e605d528d5a474e3b9dabf794,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,3.3,10834.899380486695
0x9519f67e19c92849b67060bf375d40fb10e7e4cbba6be03219d3d44ede8076ad,14497892,2022-04-01,115792089237316195423570985008687907844422643125696163989409844214687156142110,0x333c88c92744675fee83c2fa15e0b1c50da5ff1e,0x5ce213893956bbf4249a7f8a079331280065eec6,0x5ce213893956bbf4249a7f8a079331280065eec6,0x333c88c92744675fee83c2fa15e0b1c50da5ff1e,5600.0,18386495.918401662
0xcc5cbc2ee375244f504bf86ca9b514d93f5c799ac2b9ea8a5b5b525e20d96cdb,14495799,2022-03-31,8507059173023461586584365185794205286471,0x0db1f0242740199673af34d02454ee1bb038f598,0xa1ae49c05846175a1ccbad04a61b9aa1bad17b86,0xa1ae49c05846175a1ccbad04a61b9aa1bad17b86,0x0db1f0242740199673af34d02454ee1bb038f598,3.02,10219.042060579875
0x89bf6563c0460b6725d1dede40a7cc9c6b1cb44a14dd9154a6bbb0de7b12667f,14495777,2022-03-31,13611294676837538538534984297270728458313,0x0db1f0242740199673af34d02454ee1bb038f598,0xcceadc23117995fda452225e6b6435c68ef10670,0xcceadc23117995fda452225e6b6435c68ef10670,0x0db1f0242740199673af34d02454ee1bb038f598,2.951,9985.560636016959
0xef02e20656b8ec4046620d31460d79642261ce1740af6932d7329fa363878b2f,14495749,2022-03-31,13951577043758477001998358904702496669769,0x0db1f0242740199673af34d02454ee1bb038f598,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x0db1f0242740199673af34d02454ee1bb038f598,2.92,9880.663184401734
0x9b6e88ef74dceddf16a9ded84d544248d27bda7f6f715f77bff6ea8a84f6d95e,14495730,2022-03-31,115792089237316195423570985008687907839998972355723963964385974318074169393237,0x0db1f0242740199673af34d02454ee1bb038f598,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x0db1f0242740199673af34d02454ee1bb038f598,2.9,9812.987409166106
0xf0fb6137b10a2ad9c899c9ffebbce965a6262999150d53f9d032499a2cf918b8,14495676,2022-03-31,115792089237316195423570985008687907837616995787277394720142352066051791913047,0x0db1f0242740199673af34d02454ee1bb038f598,0xc77d5f704e4c7809f6ecd73fc588e69a872733eb,0xc77d5f704e4c7809f6ecd73fc588e69a872733eb,0x0db1f0242740199673af34d02454ee1bb038f598,2.1896999999999998,7409.482251672765
0x0152f3bda08beb24864ee33ad7f1f2802bbcd65d6177623fcf777fe8e15c44e1,14494454,2022-03-31,115792089237316195423570985008687907840339254722644902427849348925505937604729,0xa160f75cb1ee81c62b80606586051b86b62bac25,0xf179344bbec75ad4522bd6b2c780b2e13b3469a2,0xa160f75cb1ee81c62b80606586051b86b62bac25,0xf179344bbec75ad4522bd6b2c780b2e13b3469a2,6800.0,23009763.580113627
0x2107bd1ef76617a8e37f7a0fd00f6d9be91ed0be8bf12b8578fb3898f129f0bf,14493442,2022-03-31,115792089237316195423570985008687907838978125254961148573995850495778864758671,0x55c44b2827d73ba7edaff4fe21f7e12f57e4115b,0x4c2bd75d6cb51b4e4ffa67598c6fc7c1860d19d5,0x55c44b2827d73ba7edaff4fe21f7e12f57e4115b,0x4c2bd75d6cb51b4e4ffa67598c6fc7c1860d19d5,3.2,10828.12403770053
0x8629489232663764a63d1878fb72ade4fd84b855b5a52ca4766fe3d07deab4d0,14493056,2022-03-31,115792089237316195423570985008687907831491913182700502377801609132279964106900,0x69734444a9c9954c21d83b5f062802909dc5112b,0x9204604e801b7c3ed4ff08a65ba492e4e1b053f6,0x69734444a9c9954c21d83b5f062802909dc5112b,0x9204604e801b7c3ed4ff08a65ba492e4e1b053f6,3.1,10489.745161522389
0xdceef687e474f4aff931d290711a774fe1e35ee5634185a40f168d75d2044494,14492377,2022-03-31,115792089237316195423570985008687907837276713420356456256678977458620023701571,0x69734444a9c9954c21d83b5f062802909dc5112b,0x79dba894e52c90c7e3ff1db2d269b2a9f6c2d734,0x69734444a9c9954c21d83b5f062802909dc5112b,0x79dba894e52c90c7e3ff1db2d269b2a9f6c2d734,3.1,10489.745161522389
0xd6b0e656e8a93f44b50192a78aa5320a5164a0d82900f592bc62f009293d51e8,14491961,2022-03-31,115792089237316195423570985008687907807331865131313871471902012004624421093340,0x89a1d730aa1e78a0ede8dea988acecff0a6e99a9,0xa01424b7540adbb792375dcf97b733a5d68ad347,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x89a1d730aa1e78a0ede8dea988acecff0a6e99a9,5000.0,16918943.80890708
0x8c5a9668154dcb42fd3f5af0e2c5dfe3a31ec8729ca30b72403093dea2e71126,14491822,2022-03-31,22798918583702877052046098697928470167414,0x6e7940fa84f9b5a69cae9764725336ae085f83c6,0x4ca43dc185ff11844e448604cd11409a92a3794b,0x6e7940fa84f9b5a69cae9764725336ae085f83c6,0x4ca43dc185ff11844e448604cd11409a92a3794b,3.05,10320.555723433317
0xf5d595babd8b4c13c7963b19ce97632861f049d318cd5f29220fad8cf7824792,14489363,2022-03-30,115792089237316195423570985008687907848846313895668364014433714111300142890880,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,0x890c7aede8d6b045ad982b3d2524b627e995af18,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,0x890c7aede8d6b045ad982b3d2524b627e995af18,5.5,18706.514370720743
0x03d98823664151a7c0d42cf9a2f8beb3499241f210abe6ce3599b5696338efc8,14485992,2022-03-30,115792089237316195423570985008687907835915583952672702402825479028892950855550,0x93292a3f928196ce9d7a96bfecaf0643a6bae931,0x161619839ebbada5d3c279e1a79c50f7fc4274d6,0x93292a3f928196ce9d7a96bfecaf0643a6bae931,0x161619839ebbada5d3c279e1a79c50f7fc4274d6,3.15,10713.730957776426
0x9d0f9edea9ee5b45388b8eb13e8a1d5929d1823bda8d4816deebbae02702a798,14485792,2022-03-30,50702072671219831056042816507333463506963,0xc143759083a5cc47b8f23e1a8aa8fddb6ebf6041,0x914314e476849d87475b911f062fc2e8a28f9e89,0xc143759083a5cc47b8f23e1a8aa8fddb6ebf6041,0x914314e476849d87475b911f062fc2e8a28f9e89,3.15,10713.730957776426
0x3f31fba6bbb41dc2fda9d5c0f8bee2140d6dfc5d2d202b6de024aed04f7a87e5,14485779,2022-03-30,43556142965880123323311949751266331066362,0x3acaa283e81b7b60323e1c18f3a06a855827cdbc,0x914314e476849d87475b911f062fc2e8a28f9e89,0x3acaa283e81b7b60323e1c18f3a06a855827cdbc,0x914314e476849d87475b911f062fc2e8a28f9e89,3.0,10203.553293120405
0xd722dfc634660d7763dd8f6a9c05794011a5d9545a42f2e64c1de2b8d13ffdb4,14484448,2022-03-30,115792089237316195423570985008687907830130783715016748523948110702552891260904,0x5e8ed59175b2c0c59f2f759de8860f49bad16cd2,0x5ce213893956bbf4249a7f8a079331280065eec6,0x5e8ed59175b2c0c59f2f759de8860f49bad16cd2,0x5ce213893956bbf4249a7f8a079331280065eec6,3.0,10203.553293120405
